StrongID;OriginalWord;Transliteration;EnglishDefinition;HungarianDefinition
H83;אֵבֶר;ʼêber;a pinion;szárnyvég," szárnycsapó"," szárnyperce."
H84;אֶבְרָה;ʼebrâh;{a pinion};szárnyvég," szárnycsúcs"
H85;אַבְרָהָם;ʼAbrâhâm;Abraham," the later name of Abram;Ábrahám"," Ábrám későbbi neve."
H86;אַבְרֵךְ;ʼabrêk;kneel;fél a térdre," térdre borulni."
H87;אַבְרָם;ʼAbrâm;Abram," the original name of Abraham;Ábrám"," Ábrahám eredeti neve."
H88;אֹבֹת;ʼôbôth;Oboth," a place in the Desert;Obót"," egy hely a pusztában."
H89;אָגֵא;ʼÂgêʼ;Age," an Israelite;Áge"," egy Izraelita."
H90;אֲגַג;ʼĂgag;Agag," a title of Amalekitish kings;Agág"," az amalekiták királyainak címe."
H91;אֲגָגִי;ʼĂgâgîy;an Agagite or descendent (subject) of Agag;Agagita," Agag fia vagy leszármazottja."
H92;אֲגֻדָּה;ʼăguddâh;a band," bundle"," knot"," or arch;szövetség"," kötelék"," csoport"," ív"," nyaláb."
H93;אֱגוֹז;ʼĕgôwz;a nut;dió
H94;אָגוּר;ʼÂgûwr;Agur," a fanciful name for Solomon;Ágúr"," Salamon képzeletbeli neve."
H95;אֲגוֹרָה;ʼăgôwrâh;properly," something gathered"," i.e. perhaps a grain or berry"," used only of a small (silver) coin;valószínűleg gabona vagy bogyó"," vagy egy kis (ezüst)pénz."
H96;אֶגֶל;ʼegel;a reservoir;víztartály," tó"," medence"
H97;אֶגְלַיִם;ʼEglayim;Eglajim," a place in Moab;Eglajim"," egy hely Móábban."
H98;אֲגַם;ʼăgam;a marsh," hence a rush (as growing in swamps)"," hence a stockade of reeds;mocsár"," nádas"," nádból készült védőfal"
H99;אָגֵם;ʼâgêm;figuratively," sad;szomorú"," bánatos"," elkeseredett."
H100;אַגְמוֹן;ʼagmôwn;a bulrush (as growing there)," collectively a rope of bulrushes;sás"," nád"," vagy nádkötél"
H101;אַגָּן;ʼaggân;a bowl (as pounded out hollow);tál," üst"," mélyedés"
H102;אַגָּף;ʼaggâph;(only plural) wings of an army," or crowds of troops;sereg szárnyai"," vagy hadsereg tömegei"
H103;אָגַר;ʼâgar;to harvest;betakarítani," szüretelni"," gyűjteni"
H104;אִגְּרָא;ʼiggᵉrâʼ;an epistle (as carried by a state courier or postman);levél," küldemény"," hírlevél (állami futár vagy postás által szállított)"
H105;אֲגַרְטָל;ʼăgarṭâl;a basin;mosdómedence
H106;אֶגְרֹף;ʼegrôph;the clenched hand;szorított kéz," ököl"
H107;אִגֶּרֶת;ʼiggereth;an epistle;level.
H108;אֵד;ʼêd;a fog;Pára," köd."
H109;אָדַב;ʼâdab;to languish;gyengül," hervad"," elhanyatlóvá válik."
H110;אַדְבְּאֵל;ʼAdbᵉʼêl;Adbeel," a son of Ishmael;Adbeel"," Ismael fia."
H111;אֲדַד;ʼĂdad;Adad (or Hadad)," an Edomite;Adad (vagy Hadad)"," egy edómi."
H112;אִדּוֹ;ʼIddôw;Iddo," an Israelite;Idó"," egy Izraelita."
H113;אָדוֹן;ʼâdôwn;sovereign," i.e. controller (human or divine);úr"," gazda"," hatalmas"," uralkodó (emberi vagy isteni)"
H114;אַדּוֹן;ʼAddôwn;Addon," apparently an Israelite;úr"," gazda"," hatalmas"," valószínűleg egy izraelita."
H115;אֲדוֹרַיִם;ʼĂdôwrayim;Adorajim," a place in Palestine;Adorajim"," egy hely Palesztinában."
H116;אֱדַיִן;ʼĕdayin;then (of time);azután," ekkor"," midőn"
H117;אַדִּיר;ʼaddîyr;wide or (generally) large," figuratively"," powerful;erős"," hatalmas"," nagy"," tágas"," széles."
H118;אֲדַלְיָא;ʼĂdalyâʼ;Adalja," a son of Haman;Adaljá"," Hamán fia."
H119;אָדַם;ʼâdam;flush or turn rosy;vörösödő," pirosló"," arcrúzsosodó."
H120;אָדָם;ʼâdâm;ruddy i.e. a human being (an individual or the species," mankind"," etc.);ember"," vörös (színű)"," faj"," nemzet"," az emberiség."
H121;אָדָם;ʼÂdâm;Adam the name of the first man," also of a place in Palestine;Ádám"," az első ember neve"," továbbá egy hely Palesztinában."
H122;אָדֹם;ʼâdôm;rosy;vöröses," pirosas"," rózsaszín."
H123;אֱדֹם;ʼĔdôm;Edom," the elder twin-brother of Jacob"," hence the region (Idumaea) occupied by him;Édom"," Jákób idősebb ikertestvére"," és az általa lakott vidék (Idumea)."
H124;אֹדֶם;ʼôdem;redness," i.e. the ruby"," garnet"," or some other red gem;vörösség"," rubin"," gránát vagy más vörös drágakő."
H125;אֲדַמְדָּם;ʼădamdâm;reddish;vöröses
H126;אַדְמָה;ʼAdmâh;Admah," a place near the Dead Sea;Adma"," a hely a Holt-tenger mellett."
H127;אֲדָמָה;ʼădâmâh;soil (from its general redness);föld (általános vörösségéből)
H128;אֲדָמָה;ʼĂdâmâh;Adamah," a place in Palestine;föld"," egy hely Palesztinában"
H129;אֲדָמִי;ʼĂdâmîy;Adami," a place in Palestine;Adami"," egy hely Palesztinában."
H130;אֱדֹמִי;ʼĔdômîy;an Edomite," or descendants from (or inhabitants of) Edom;edomita"," vagy Edom lakója"," Edomtól származó személy."
H131;אֲדֻמִּים;ʼĂdummîym;Adummim," a pass in Palestine;Adummim"," egy palesztinai hágó."
H132;אַדְמֹנִי;ʼadmônîy;reddish (of the hair or the complexion);vöröses (hajra vagy bőrszínre vonatkozóan)
H133;אַדְמָתָא;ʼAdmâthâʼ;Admatha," a Persian nobleman;Admatha"," egy perzsa nemesember."
H134;אֶדֶן;ʼeden;a basis (of a building," a column"," etc.);alap"," támasz"," oszlopalap"
H135;אַדָּן;ʼAddân;Addan," an Israelite;Addán"," egy Izráelita."
H136;אֲדֹנָי;ʼĂdônây;the Lord (used as a proper name of God only);az Úr (Isten neveként használt)
H137;אֲדֹנִי־בֶזֶק;ʼĂdônîy-Bezeq;Adoni-Bezek," a Canaanitish king;Adoni-Bezek"," egy kánaánita király."
H138;אֲדֹנִיָּה;ʼĂdônîyâh;Adonijah," the name of three Israelites;Adonijjá"," három izraelita neve."
H139;אֲדֹנִי־צֶדֶק;ʼĂdônîy-Tsedeq;Adoni-Tsedek," a Canaanitish king;Melkisédek"," egy kánaánita király."
H140;אֲדֹנִיקָם;ʼĂdônîyqâm;Adonikam," the name of one or two Israelites;Adonikám"," egy vagy két izraelita neve."
H141;אֲדֹנִירָם;ʼĂdônîyrâm;Adoniram," an Israelite;Adonirámnak"," egy Izraelita férfinak."
H142;אָדַר;ʼâdar;to expand," i.e. be great or (figuratively) magnificent;naggyá lenni"," bővülni"," fényes"," dicsőséges."
H143;אֲדָר;ʼĂdâr;Adar," the 12th Hebrew month;Adár"," a zsidók naptárának tizenkettedik hónapja."
H144;אֲדָר;ʼĂdâr;{Adar," the 12th Hebrew month};adár"," a zsidók naptárának tizenkettedik hónapja."
H145;אֶדֶר;ʼeder;amplitude," i.e. (concrete) a mantle"," also (figuratively) splendor;nagyság"," bő köpeny"," vagy fényesség"," ragyogás."
H146;אַדָּר;ʼAddâr;Addar," a place in Palestine"," also an Israelite;Addár"," egy hely Palesztinában"," továbbá egy Izraelita."
H147;אִדַּר;ʼiddar;ample," i.e. a threshing-floor;tágas"," azaz csépelőhely"
H148;אֲדַרְגָּזֵר;ʼădargâzêr;a chief diviner," or astrologer;fő jósló"," vagy csillagjós"
H149;אַדְרַזְדָּא;ʼadrazdâʼ;quickly or carefully;gyorsan vagy gondosan
H150;אֲדַרְכֹּן;ʼădarkôn;a daric or Persian coin;darák vagy perzsa pénzdarab
H151;אֲדֹרָם;ʼĂdôrâm;Adoram (or Adoniram)," an Israelite;Adorám (vagy Adonirám)"," egy izraelita."
H152;אֲדְרַמֶּלֶךְ;ʼĂdrammelek;Adrammelek," the name of an Assyrian idol"," also of a son of Sennacherib;Adrammelek"," egy asszír bálvány neve"," továbbá Szenacherib fia."
H153;אֶדְרָע;ʼedrâʻ;an arm," i.e. (figuratively) power;kar"," erő"," hatalom"
H154;אֶדְרֶעִי;ʼedreʻîy;Edrei," the name of two places in Palestine;Edrei"," Palesztinában található két hely neve."
H155;אַדֶּרֶת;ʼaddereth;something ample (as a large vine," a wide dress);valami bő"," tágas (mint egy nagy szőlőtő"," vagy egy széles köpeny)"
H156;אָדַשׁ;ʼâdash;to tread out (grain);tapcsolni," kiütni (gabnát)"
H157;אָהַב;ʼâhab;to have affection for (sexually or otherwise);szeretni," gyengéden szeretni"," vágyakozni"," kedvelni"," rajongani (szexuálisan vagy másként)"
H158;אַהַב;ʼahab;affection (in a good or a bad sense);szeretet," ragaszkodás"," kedvelés (jó vagy rossz értelemben)"
H159;אֹהַב;ʼôhab;{affection (in a good or a bad sense)};szeretet," ragaszkodás (jó vagy rossz értelemben)"
H160;אַהֲבָה;ʼahăbâh;{affection (in a good or a bad sense)};szeretet (jó vagy rossz értelemben)
H161;אֹהַד;ʼÔhad;Ohad," an Israelite;Ohad"," egy Izraelita."
H162;אֲהָהּ;ʼăhâhh;Oh!;Ó! (felkiáltás)
H163;אַהֲוָא;ʼAhăvâʼ;Ahava," a river of Babylonia;Ahava"," egy folyó Babiloniában."
H164;אֵהוּד;ʼÊhûwd;Ehud," the name of two or three Israelites;Éhúd"," két vagy három izraelita neve."
H165;אֱהִי;ʼĕhîy;where;hol
H166;אָהַל;ʼâhal;to be clear;világos lenni," fényesen ragyogni"," tisztán látszani."
H167;אָהַל;ʼâhal;to tent;sátorozni," lakni sátorban"," táborozni."
H168;אֹהֶל;ʼôhel;a tent (as clearly conspicuous from a distance);sátor (távolról is jól látható menedékhely)
H169;אֹהֶל;ʼÔhel;Ohel," an Israelite;sátor"," izraelita"
H170;אׇהֳלָה;ʼOhŏlâh;Oholah," a symbolic name for Samaria;Oholá"," egy jelképes név Samáriára."
H171;אׇהֳלִיאָב;ʼOhŏlîyʼâb;Oholiab," an Israelite;Oholiáb"," egy Izraelita."
H172;אׇהֳלִיבָה;ʼOhŏlîybâh;Oholibah," a symbolic name for Judah;Oholiba"," Júda szimbolikus neve."
H173;אׇהֳלִיבָמָה;ʼOhŏlîybâmâh;Oholibamah," a wife of Esau;Óholibáma"," Ézsau felesége."
H174;אֲהָלִים;ʼăhâlîym;aloe wood (i.e. sticks);aloéfa (fából készült botok," pálcák)"
H175;אַהֲרוֹן;ʼAhărôwn;Aharon," the brother of Moses;Áron"," Mózes testvére."
H176;אוֹ;ʼôw;desire (and so probably in Proverbs 31:4)," hence (by way of alternative) or"," also if;vágyakozás (valószínűleg a Példabeszédek 31:4-ben)"," tehát"," vagy"," akár"
H177;אוּאֵל;ʼÛwʼêl;Uel," and Israelite;Uel"," egy Izraelita."
H178;אוֹב;ʼôwb;properly," a mumble"," i.e. a water skin (from its hollow sound)"," hence a necromancer (ventriloquist"," as from a jar);valamint egy bőrtömlő (a benne lévő üres hang alapján)"," vagy egy jós"," aki a halottak szellemét idézi (mintha edényből szólna)."
H179;אוֹבִיל;ʼôwbîyl;Obil," an Ishmaelite;Obil"," egy Ismaelita."
H180;אוּבָל;ʼûwbâl;a stream;folyóvíz," patak"
H181;אוּד;ʼûwd;a poker (for turning or gathering embers);tűzkar," szénkaparó"
H182;אוֹדוֹת;ʼôwdôwth;turnings (i.e. occasions)," (adverb) on account of;fordulópontok"," alkalmak"," okokból"," miatt"
H183;אָוָה;ʼâvâh;to wish for;vágyni valamire
H184;אָוָה;ʼâvâh;to extend or mark out;kiterjeszteni," meghúzni"," kijelölni."
H185;אַוָּה;ʼavvâh;longing;vágyakozás," sóvárgás"
H186;אוּזַי;ʼÛwzay;Uzai," an Israelite;Uzai"," egy Izraelita."
H187;אוּזָל;ʼÛwzâl;Uzal," a son of Joktan;Uzal"," Joktan fia."
H188;אוֹי;ʼôwy;lamentation," also interjectionally Oh!;kesergés"," továbbá felkiáltásként: ó!"
H189;אֱוִי;ʼĔvîy;Evi," a Midianitish chief;Évi"," a midjáni főnök."
H190;אוֹיָה;ʼôwyâh;{lamentation," also interjectionally Oh!};úgyan"," jaj! vagy: panasz"," sóhaj."
H191;אֱוִיל;ʼĕvîyl;(figuratively) silly;bolondság," éretlenség"," ostobaság"
H192;אֱוִיל מְרֹדַךְ;ʼĔvîyl Mᵉrôdak;Evil-Merodak," a Babylonian king;Évil-Merodák"," a babilóniai király."
H193;אוּל;ʼûwl;the body (as being rolled together)," also powerful;test (az emberi test)"," erő"," hatalom."
H194;אוּלַי;ʼûwlay;if not," hence perhaps;ha nem"," azért talán"
H195;אוּלַי;ʼÛwlay;the Ulai (or Eulaeus)," a river of Persia;Az Ulai (vagy Eulaeus) folyó Perzsiában."
H196;אֱוִלִי;ʼĕvilîy;silly," foolish"," hence (morally) impious;bolond"," esztelen"," erkölcsileg gonosz."
H197;אוּלָם;ʼûwlâm;a vestibule (as bound to the building);előcsarnok (az épülethez tartozó)
H198;אוּלָם;ʼÛwlâm;Ulam," the name of two Israelites;Ulám"," két izraelita neve."
H199;אוּלָם;ʼûwlâm;however or on the contrary;azonban," vagy ellenben"
H200;אִוֶּלֶת;ʼivveleth;silliness;balgaság," bolondság"," éretlenség"
H201;אוֹמָר;ʼÔwmâr;Omar," a grandson of Esau;Ómár"," Ézsau unokája."
H202;אוֹן;ʼôwn;ability," power"," (figuratively) wealth;erő"," hatalom"," (átvitt értelemben) vagyon."
H203;אוֹן;ʼÔwn;On," an Israelite;On"," egy Izraelita."
H204;אוֹן;ʼÔwn;On," a city of Egypt;On"," egy egyiptomi város."
H205;אָוֶן;ʼâven;strictly nothingness," also trouble. vanity"," wickedness"," specifically an idol;hiábavalóság"," üresség"," gonoszság"," bálvány."
H206;אָוֶן;ʼÂven;Aven," the contemptuous synonym of three places"," one in Coele-Syria"," one in Egypt (On)"," and one in Palestine (Bethel);Avén"," három hely becsmérlő neve: egy Koileszíriában"," egy Egyiptomban (Ón)"," és egy Palesztinában (Betel)."
H207;אוֹנוֹ;ʼÔwnôw;Ono," a place in Palestine;Ónó"," egy hely Palesztinában."
H208;אוֹנָם;ʼÔwnâm;Onam," the name of an Edomite and of an Israelite;Onám"," egy edómi és egy izraelita név."
H209;אוֹנָן;ʼÔwnân;Onan," a son of Judah;Onán"," Júda fia."
H210;אוּפָז;ʼÛwphâz;Uphaz," a famous gold region;Ufáz"," egy híres aranytartó vidék."
H211;אוֹפִיר;ʼÔwphîyr;Ophir," the name of a son of Joktan"," and of a gold region in the East;Ófír"," Jókton fia"," és egy keleten fekvő aranyvidék neve."
H212;אוֹפָן;ʼôwphân;a wheel;kerék
H213;אוּץ;ʼûwts;to press," (by implication) to be close"," hurry"," withdraw;szorítani"," (átvitt értelemben) közel lenni"," sietni"," visszahúzódni."
H214;אוֹצָר;ʼôwtsâr;a depository;raktár," kincstár"," gyűjtőhely"
H215;אוֹר;ʼôwr;to be (causative," make) luminous (literally and metaphorically);fényes lenni (okozó"," világítani"," ragyogtatni"," képletesen): világítani"," ragyogni"," fényesen ragyogni"," világosságot adni."
H216;אוֹר;ʼôwr;illumination or (concrete) luminary (in every sense," including lightning"," happiness"," etc.);világosság"," fény"," világító eszköz"," ragyogás"," boldogság."
H217;אוּר;ʼûwr;flame," hence (in the plural) the East (as being the region of light);láng"," vagy (többes számban) kelet"," mint a fény tája."
H218;אוּר;ʼÛwr;Ur," a place in Chaldaea"," also an Israelite;Ur"," egy hely Káldea földjén"," továbbá egy izraelita."
H219;אוֹרָה;ʼôwrâh;luminousness," i.e. (figuratively) prosperity"," also a plant (as being bright);fényesség"," virágzás"," jólét."
H220;אֲוֵרָה;ʼăvêrâh;a stall;állás," ól"," istálló"
H221;אוּרִי;ʼÛwrîy;Uri," the name of three Israelites;Úri"," három izraelita neve."
H222;אוּרִיאֵל;ʼÛwrîyʼêl;Uriel," the name of two Israelites;Uriél"," két izraelita neve."
H223;אוּרִיָּה;ʼÛwrîyâh;Urijah," the name of one Hittite and five Israelites;Úriás"," egy hittita és öt izraelita neve."
H224;אוּרִים;ʼÛwrîym;Urim," the oracular brilliancy of the figures in the high-priest's breastplate;Urim"," a főpap mellérméjében lévő alakok jövendölő fénye."
H225;אוּת;ʼûwth;properly," to come"," i.e. (implied) to assent;valóban"," megerősítés"," hozzájárulás."
H226;אוֹת;ʼôwth;a signal (literally or figuratively)," as aflag"," beacon"," monument"," omen"," prodigy"," evidence"," etc.;jel"," bélyeg"," jelzés"," csoda"," előjel"," tanúbizonyság"," emlékmű."
H227;אָז;ʼâz;at that time or place," also as a conjunction"," therefore;abban az időben vagy helyen"," továbbá kötőszóként: azért"," tehát."
H228;אֲזָא;ʼăzâʼ;to kindle," (by implication) to heat;gyújt"," (átvitt értelemben) melegít."
H229;אֶזְבַּי;ʼEzbay;Ezbai," an Israelite;Ezbai"," egy Izraelita."
H230;אֲזָד;ʼăzâd;firm;erős," szilárd"," megerősített."
H231;אֵזוֹב;ʼêzôwb;hyssop;izsóp
H232;אֵזוֹר;ʼêzôwr;something girt," a belt"," also a band;öv"," kötéssel átfont dolog"," szíj"," deréköv"
H233;אֲזַי;ʼăzay;at that time;Abban az időben," akkor."
H234;אַזְכָּרָה;ʼazkârâh;a reminder," specifically remembrance-offering;emlékezet"," különösen emlékezet-áldozat"
H235;אָזַל;ʼâzal;to go away," hence"," to disappear;elmúlni"," eltávozni"," veszni"," megsemmisülni."
H236;אֲזַל;ʼăzal;to depart;elmúlni," elmenni"," távozni"," elhagyatni."
H237;אֶזֶל;ʼezel;Ezel," a memorial stone in Palestine;Ezel"," egy emlékkő Palesztinában."
H238;אָזַן;ʼâzan;to broaden out the ear (with the hand)," i.e. (by implication) to listen;hallgatni"," fülelni"
H239;אָזַן;ʼâzan;to weigh," i.e. (figuratively) ponder;mérlegelni"," elgondolkodni"," latolgatni"
H240;אָזֵן;ʼâzên;a spade or paddle (as having a broad end);lapát vagy evező (széles végű)
H241;אֹזֶן;ʼôzen;broadness. i.e. (concrete) the ear (from its form in man);szélesség," fül."
H242;אֻזֵּן שֶׁאֱרָה;ʼUzzên Sheʼĕrâh;Uzzen-Sheerah," a place in Palestine;Uzzen-Seirá"," egy hely Palesztinában."
H243;אַזְנוֹת תָּבוֹר;ʼAznôwth Tâbôwr;Aznoth-Tabor," a place in Palestine;Aznót-Tábór"," Palesztina egyik helye."
