StrongID;OriginalWord;Transliteration;EnglishDefinition;HungarianDefinition
H6290;פָּארָן;Pâʼrân;"Paran, a desert of Arabia";
H6291;פַּג;pag;"crude, an unripe fig";
H6292;פִּגּוּל;piggûwl;"properly, fetid, i.e. (figuratively) unclean (ceremonially)";
H6293;פָּגַע;pâgaʻ;"to impinge, by accident or violence, or (figuratively) by importunity";
H6294;פֶּגַע;pegaʻ;"impact (casual)";
H6295;פַּגְעִיאֵל;Pagʻîyʼêl;"Pagiel, an Israelite";
H6296;פָּגַר;pâgar;"to relax, i.e. become exhausted";
H6297;פֶּגֶר;peger;"a carcase (as limp), whether of man or beast, figuratively, an idolatrous image";
H6298;פָּגַשׁ;pâgash;"to come in contact with, whether by accident or violence, figuratively, to concur";
H6299;פָּדָה;pâdâh;"to sever, i.e. ransom, gener. to release, preserve";
H6300;פְּדַהְאֵל;Pᵉdahʼêl;"Pedahel, an Israelite";
H6301;פְּדָהצוּר;Pᵉdâhtsûwr;"Pedahtsur, an Israelite";
H6302;פָּדוּי;pâdûwy;"as abstractly (in plural masculine) a ransom";
H6303;פָּדוֹן;Pâdôwn;"Padon, one of the Nethinim.";
H6304;פְּדוּת;pᵉdûwth;"distinction, also deliverance";
H6305;פְּדָיָה;Pᵉdâyâh;"Pedajah, the name of six Israelites";
H6306;פִּדְיוֹם;pidyôwm;"a ransom";
H6307;פַּדָּן;Paddân;"Paddan or Paddan-Aram, a region of Syria";
H6308;פָּדַע;pâdaʻ;"to retrieve";
H6309;פֶּדֶר;peder;"suet";
H6310;פֶּה;peh;"the mouth (as the means of blowing), whether literal or figurative (particularly speech), specifically edge, portion or side, adverbially (with preposition) according to";
H6311;פֹּה;pôh;"this place (French ici), i.e. here or hence";
H6312;פּוּאָה;Pûwʼâh;"Puah or Puvvah, the name of two Israelites";
H6313;פּוּג;pûwg;"to be sluggish";
H6314;פּוּגָה;pûwgâh;"intermission";
H6315;פּוּחַ;pûwach;"to puff, i.e. blow with the breath or air, hence, to fan (as a breeze), to utter, to kindle (a fire), to scoff";
H6316;פּוּט;Pûwṭ;"Put, a son of Ham, also the name of his descendants or their region, and of a Persian tribe";
H6317;פּוּטִיאֵל;Pûwṭîyʼêl;"Putiel, an Israelite";
H6318;פּוֹטִיפַר;Pôwṭîyphar;"Potiphar, an Egyptian";
H6319;פּוֹטִי פֶרַע;Pôwṭîy Pheraʻ;"Poti-Phera, an Egyptian";
H6320;פּוּךְ;pûwk;"dye (specifically, stibium for the eyes)";
H6321;פּוֹל;pôwl;"a bean (as plump)";
H6322;פּוּל;Pûwl;"Pul, the name of an Assyrian king and of an Ethiopian tribe";
H6323;פּוּן;pûwn;"be perplexed";
H6324;פּוּנִי;Pûwnîy;"a Punite (collectively) or descendants of an unknown Pun";
H6325;פּוּנֹן;Pûwnôn;"Punon, a place in the Desert";
H6326;פּוּעָה;Pûwʻâh;"Puah, an Israelitess";
H6327;פּוּץ;pûwts;"to dash in pieces, literally or figuratively (especially to disperse)";
H6328;פּוּק;pûwq;"to waver";
H6329;פּוּק;pûwq;"to issue, i.e. furnish, causatively, to secure, figuratively, to succeed";
H6330;פּוּקָה;pûwqâh;"a stumbling-block";
H6331;פּוּר;pûwr;"to crush";
H6332;פּוּר;Pûwr;"a lot (as by means of a broken piece)";
H6333;פּוּרָה;pûwrâh;"a wine-press (as crushing the grapes)";
H6334;פּוֹרָתָא;Pôwrâthâʼ;"Poratha, a son of Haman";
H6335;פּוּשׁ;pûwsh;"to spread, figuratively, act proudly";
H6336;פּוּתִי;Pûwthîy;"a Puthite (collectively) or descendants of an unknown Puth";
H6337;פָּז;pâz;"pure (gold), hence, gold itself (as refined)";
H6338;פָּזַז;pâzaz;"to refine (gold)";
H6339;פָּזַז;pâzaz;"to solidify (as if by refining), also to spring (as if separating the limbs)";
H6340;פָּזַר;pâzar;"to scatter, whether in enmity or bounty";
H6341;פַּח;pach;"a (metallic) sheet (as pounded thin), also a spring net (as spread out like a lamina)";
H6342;פָּחַד;pâchad;"to be startled (by a sudden alarm), hence, to fear in general";
H6343;פַּחַד;pachad;"a (sudden) alarm (properly, the object feared, by implication, the feeling)";
H6344;פַּחַד;pachad;"a testicle (as a cause of shame akin to fear)";
H6345;פַּחְדָּה;pachdâh;"alarm (i.e. awe)";
H6346;פֶּחָה;pechâh;"a prefect (of a city or small district)";
H6347;פֶּחָה;pechâh;"{a prefect (of a city or small district)}";
H6348;פָּחַז;pâchaz;"to bubble up or froth (as boiling water), i.e. (figuratively) to be unimportant";
H6349;פַּחַז;pachaz;"ebullition, i.e. froth (figuratively, lust)";
H6350;פַּחֲזוּת;pachăzûwth;"frivolity";
H6351;פָּחַח;pâchach;"to spread a net";
H6352;פֶּחָם;pechâm;"a coal, whether charred or live";
H6353;פֶּחָר;pechâr;"a potter";
H6354;פַּחַת;pachath;"a pit, especially forcatching animals";
H6355;פַּחַת מוֹאָב;Pachath Môwʼâb;"Pachath-Moab, an Israelite";
H6356;פְּחֶתֶת;pᵉchetheth;"a hole (by mildew in a garment)";
H6357;פִּטְדָה;piṭdâh;"a gem, probably the topaz";
H6358;פָּטוּר;pâṭûwr;"opened, i.e. (as noun) a bud";
H6359;פָּטִיר;pâṭîyr;"open, i.e. unoccupied";
H6360;פַּטִּישׁ;paṭṭîysh;"a hammer";
H6361;פַּטִּישׁ;paṭṭîysh;"a gown (as if hammered out wide)";
H6362;פָּטַר;pâṭar;"to cleave or burst through, i.e. (causatively) to emit, whether literal or figurative (gape)";
H6363;פֶּטֶר;peṭer;"a fissure, i.e. (concretely) firstling (as opening the matrix)";
H6364;פִּי־בֶסֶת;Pîy-Beçeth;"Pi-Beseth, a place in Egypt";
H6365;פִּיד;pîyd;"(figuratively) misfortune";
H6366;פֵּיָה;pêyâh;"an edge";
H6367;פִּי הַחִירֹת;Pîy ha-Chîyrôth;"Pi-ha-Chiroth, a place in Egypt";
H6368;פִּיחַ;pîyach;"a powder (as easily puffed away), i.e. ashes or dust";
H6369;פִּיכֹל;Pîykôl;"Picol, a Philistine";
H6370;פִּילֶגֶשׁ;pîylegesh;"a concubine, also (masculine) a paramour";
H6371;פִּימָה;pîymâh;"obesity";
H6372;פִּינְחָס;Pîynᵉchâç;"Pinechas, the name of three Israelites";
H6373;פִּינֹן;pîynôn;"Pinon, an Idumaean";
H6374;פִּיפִיָּה;pîyphîyâh;"an edge or tooth";
H6375;פִּיק;pîyq;"a tottering";
H6376;פִּישׁוֹן;Pîyshôwn;"Pishon, a river of Eden";
H6377;פִּיתוֹן;Pîythôwn;"Pithon, an Israelite";
H6378;פַּךְ;pak;"a flask (from which a liquid may flow)";
H6379;פָּכָה;pâkâh;"to pour";
H6380;פֹּכֶרֶת צְבָיִים;Pôkereth Tsᵉbâyîym;"Pokereth-Tsebajim, one of the 'servants of Solomon'";
H6381;פָּלָא;pâlâʼ;"properly, perhaps to separate, i.e. distinguish (literally or figuratively), by implication, to be (causatively, make) great, difficult, wonderful";
H6382;פֶּלֶא;peleʼ;"a miracle";
H6383;פִּלְאִי;pilʼîy;"remarkable";
H6384;פַּלֻּאִי;Palluʼîy;"a Palluite (collectively) or descendants of Pallu";
H6385;פָּלַג;pâlag;"to split (literally or figuratively)";
H6386;פְּלַג;pᵉlag;"{to split (literally or figuratively)}";
H6387;פְּלַג;pᵉlag;"a half";
H6388;פֶּלֶג;peleg;"a rill (i.e. small channel of water, as in irrigation)";
H6389;פֶּלֶג;Peleg;"Peleg, a son of Shem";
H6390;פְּלַגָּה;pᵉlaggâh;"a runlet, i.e. gully";
H6391;פְּלֻגָּה;pᵉluggâh;"a section";
H6392;פְּלֻגָּה;pᵉluggâh;"{a section}";
H6393;פְּלָדָה;pᵉlâdâh;"a cleaver, i.e. iron armature (of a chariot)";
H6394;פִּלְדָּשׁ;Pildâsh;"Pildash, a relative of Abraham";
H6395;פָּלָה;pâlâh;"to distinguish (literally or figuratively)";
H6396;פַּלּוּא;Pallûwʼ;"Pallu, an Israelite";
H6397;פְּלוֹנִי;Pᵉlôwnîy;"a Pelonite or inhabitant of an unknown Palon";
H6398;פָּלַח;pâlach;"to slice, i.e. break open or pierce";
H6399;פְּלַח;pᵉlach;"to serve or worship";
H6400;פֶּלַח;pelach;"a slice";
H6401;פִּלְחָא;Pilchâʼ;"Pilcha, an Israelite";
H6402;פׇּלְחָן;polchân;"worship";
H6403;פָּלַט;pâlaṭ;"to slip out, i.e. escape, causatively, to deliver";
H6404;פֶּלֶט;Peleṭ;"Pelet, the name of two Israelites";
H6405;פַּלֵּט;pallêṭ;"escape";
H6406;פַּלְטִי;Palṭîy;"Palti, the name of two Israelites";
H6407;פַּלְטִי;Palṭîy;"a Paltite or descendant of Palti";
H6408;פִּלְטַי;Pilṭay;"Piltai, an Israelite";
H6409;פַּלְטִיאֵל;Palṭîyʼêl;"Paltiel, the name of two Israelites";
H6410;פְּלַטְיָה;Pᵉlaṭyâh;"Pelatjah, the name of four Israelites";
H6411;פְּלָיָה;Pᵉlâyâh;"Pelajah, the name of three Israelites";
H6412;פָּלִיט;pâlîyṭ;"a refugee";
H6413;פְּלֵיטָה;pᵉlêyṭâh;"deliverance, concretely, an escaped portion";
H6414;פָּלִיל;pâlîyl;"a magistrate";
H6415;פְּלִילָה;pᵉlîylâh;"justice";
H6416;פְּלִילִי;pᵉlîylîy;"judicial";
H6417;פְּלִילִיָּה;pᵉlîylîyâh;"judicature";
H6418;פֶּלֶךְ;pelek;"a circuit (i.e. district), also a spindle (as whirled), hence, a crutch";
H6419;פָּלַל;pâlal;"to judge (officially or mentally), by extension, to intercede, pray";
H6420;פָּלָל;Pâlâl;"Palal, an Israelite";
H6421;פְּלַלְיָה;Pᵉlalyâh;"Pelaljah, an Israelite";
H6422;פַּלְמוֹנִי;palmôwnîy;"a certain one, i.e. so-and-so";
H6423;פְּלֹנִי;pᵉlônîy;"such a one, i.e. a specified person";
H6424;פָּלַס;pâlaç;"properly, to roll flat, i.e. prepare (a road), also to revolve, i.e. weigh (mentally)";
H6425;פֶּלֶס;peleç;"a balance";
H6426;פָּלַץ;pâlats;"properly, perhaps to rend, i.e. (by implication) to quiver";
H6427;פַּלָּצוּת;pallâtsûwth;"affright";
H6428;פָּלַשׁ;pâlash;"to roll (in dust)";
H6429;פְּלֶשֶׁת;Pᵉlesheth;"Pelesheth, a region of Syria";
H6430;פְּלִשְׁתִּי;Pᵉlishtîy;"a Pelishtite or inhabitant of Pelesheth";
H6431;פֶּלֶת;Peleth;"Peleth, the name of two Israelites";
H6432;פְּלֵתִי;Pᵉlêthîy;"a courier (collectively) or official messenger";
H6433;פֻּם;pum;"the mouth (literally or figuratively)";
H6434;פֵּן;pên;"an angle (of a street or wall)";
H6435;פֵּן;pên;"properly, removal, used only (in the construction) adverb as conjunction, lest";
H6436;פַּנַּג;pannag;"probably pastry";
H6437;פָּנָה;pânâh;"to turn, by implication, to face, i.e. appear, look, etc.";
H6438;פִּנָּה;pinnâh;"an angle, by implication, a pinnacle, figuratively, a chieftain";
H6439;פְּנוּאֵל;Pᵉnûwʼêl;"Penuel or Peniel, a place East of Jordan, also (as Penuel) the name of two Israelites";
H6440;פָּנִים;pânîym;"the face (as the part that turns), used in a great variety of applications (literally and figuratively), also (with prepositional prefix) as a preposition (before, etc.)";
H6441;פְּנִימָה;pᵉnîymâh;"faceward, i.e. indoors";
H6442;פְּנִימִי;pᵉnîymîy;"interior";
H6443;פָּנִין;pânîyn;"probably a pearl (as round)";
H6444;פְּנִנָּה;Pᵉninnâh;"Peninnah, an Israelitess";
H6445;פָּנַק;pânaq;"to enervate";
H6446;פַּס;paç;"a long and sleeved tunic (perhaps simply a wide one, from the original sense of the root, i.e. of many breadths)";
H6447;פַּס;paç;"the palm (of the hand, as being spread out)";
H6448;פָּסַג;pâçag;"to cut up, i.e. (figuratively) contemplate";
H6449;פִּסְגָּה;Piçgâh;"Pisgah, a Mountain East of Jordan";
H6450;פַּס דַּמִּים;Paç Dammîym;"Pas-Dammim, a place in Palestine";
H6451;פִּסָּה;piççâh;"expansion, i.e. abundance";
H6452;פָּסַח;pâçach;"to hop, i.e. (figuratively) skip over (or spare), by implication, to hesitate, also (literally) to limp, to dance";
H6453;פֶּסַח;peçach;"a pretermission, i.e. exemption, used only techically of the Jewish Passover (the festival or the victim)";
H6454;פָּסֵחַ;Pâçêach;"Paseach, the name of two Israelites";
H6455;פִּסֵּחַ;piççêach;"lame";
H6456;פְּסִיל;pᵉçîyl;"an idol";
H6457;פָּסַךְ;Pâçak;"Pasak, an Israelite";
H6458;פָּסַל;pâçal;"to carve, whether wood or stone";
H6459;פֶּסֶל;peçel;"an idol";
H6460;פְּסַנְטֵרִין;pᵉçanṭêrîyn;"psalterion, a lyre";
H6461;פָּסַס;pâçaç;"probably to disperse, i.e. (intransitive) disappear";
H6462;פִּסְפָּה;Piçpâh;"Pispah, an Israelite";
H6463;פָּעָה;pâʻâh;"to scream";
H6464;פָּעוּ;Pâʻûw;"Pau or Pai, a place in Edom";
H6465;פְּעוֹר;Pᵉʻôwr;"Peor, a mountain East of Jordan, Baal Peor,  (for a deity worshipped there";
H6466;פָּעַל;pâʻal;"to do or make (systematically and habitually), especially to practise";
H6467;פֹּעַל;pôʻal;"an act or work (concretely)";
H6468;פְּעֻלָּה;pᵉʻullâh;"(abstractly) work";
H6469;פְּעֻלְּתַי;Pᵉʻullᵉthay;"Peullethai, an Israelite";
H6470;פָּעַם;pâʻam;"to tap, i.e. beat regularly, hence (generally) to impel or agitate";
H6471;פַּעַם;paʻam;"a stroke, literally or figuratively (in various applications, as follow)";
H6472;פַּעֲמֹן;paʻămôn;"a bell (as struck)";
H6473;פָּעַר;pâʻar;"to yawn, i.e. open wide (literally or figuratively)";
H6474;פַּעֲרַי;Paʻăray;"Paarai, an Israelite";
H6475;פָּצָה;pâtsâh;"to rend, i.e. open (especially the mouth)";
H6476;פָּצַח;pâtsach;"to break out (in joyful sound)";
H6477;פְּצִירָה;pᵉtsîyrâh;"bluntness";
H6478;פָּצַל;pâtsal;"to peel";
H6479;פְּצָלָה;pᵉtsâlâh;"a peeling";
H6480;פָּצַם;pâtsam;"to rend (by earthquake)";
H6481;פָּצַע;pâtsaʻ;"to split, i.e. wound";
H6482;פֶּצַע;petsaʻ;"a wound";
H6483;פִּצֵּץ;Pitstsêts;"Pitstsets, a priest";
H6484;פָּצַר;pâtsar;"to peck at, i.e. (figuratively) stun or dull";
H6485;פָּקַד;pâqad;"to visit (with friendly or hostile intent), by analogy, to oversee, muster, charge, care for, miss, deposit, etc.";
H6486;פְּקֻדָּה;pᵉquddâh;"visitation (in many senses, chiefly official)";
H6487;פִּקָּדוֹן;piqqâdôwn;"a deposit";
H6488;פְּקִדֻת;pᵉqiduth;"supervision";
H6489;פְּקוֹד;Pᵉqôwd;"Pekod, a symbolic name for Babylon";
H6490;פִּקּוּד;piqqûwd;"properly, appointed, i.e. a mandate (of God, plural only, collectively, for the Law)";
H6491;פָּקַח;pâqach;"to open (the senses, especially the eyes), figuratively, to be observant";
H6492;פֶּקַח;Peqach;"Pekach, an Israelite king";
H6493;פִּקֵּחַ;piqqêach;"clear-sighted, figuratively, intelligent";
H6494;פְּקַחְיָה;Pᵉqachyâh;"Pekachjah, an Israelite king";
H6495;פְּקַח־קוֹחַ;pᵉqach-qôwach;"opening (of a dungeon), i.e. jail-delivery (figuratively, salvation for sin)";
H6496;פָּקִיד;pâqîyd;"a superintendent (civil, military or religious)";
H6497;פֶּקַע;peqaʻ;"a semi-globe";
H6498;פַּקֻּעָה;paqquʻâh;"the wild cucumber (from splitting open to shed its seeds)";
H6499;פַּר;par;"a bullock (apparently as breaking forth in wild strength, or perhaps as dividing the hoof)";
H6500;פָּרָא;pârâʼ;"to bear fruit";
H6501;פֶּרֶא;pereʼ;"the onager";
H6502;פִּרְאָם;Pirʼâm;"Piram, a Canaanite";
H6503;פַּרְבָּר;Parbâr;"Parbar or Parvar, a quarter of Jerusalem";
