Verse Reference,Bible Gateway Link (Chapter),bbe,web,ylt
2 Samuel 22:2-51,2Samuel 22:2-51,"And he said, The Lord is my Rock, my walled town, and my saviour, even mine;My God, my Rock, in him will I put my faith; my breastplate, and the horn of my salvation, my high tower, and my safe place; my saviour, who keeps me safe from the violent man.I will send up my cry to the Lord, who is to be praised; so will I be made safe from those who are against me.For the waves of death came round me, and the seas of evil put me in fear;The cords of hell were round me: the nets of death came on me.In my trouble my voice went up to the Lord, and my cry to my God: my voice came to his hearing in his holy Temple, and my prayer came to his ears.Then the earth was moved with a violent shock; the bases of heaven were moved and shaking, because he was angry.There went up a smoke from his nose, and a fire of destruction from his mouth: coals were lighted by it.The heavens were bent, so that he might come down; and it was dark under his feet.And he went through the air, seated on a storm-cloud: going quickly on the wings of the wind.And he made the dark his tent round him, a mass of waters, thick clouds of the skies.Before his shining light his dark clouds went past, raining ice and coals of fire.The Lord made thunder in the heavens, and the voice of the Highest was sounding out.And he sent out his arrows, driving them in all directions; by his flames of fire they were troubled.Then the deep beds of the sea were seen, and the bases of the world were uncovered, because of the Lord's wrath, because of the breath of his mouth.He sent from on high, he took me, pulling me out of great waters.He made me free from my strong hater, from those who were against me, because they were stronger than I.They came on me in the day of my trouble: but the Lord was my support.He took me out into a wide place; he was my saviour because he had delight in me.The Lord gives me the reward of my righteousness, because my hands are clean before him.For I have kept the ways of the Lord; I have not been turned away in sin from my God.For all his decisions were before me, and I did not put away his laws from me.And I was upright before him, and I kept myself from sin.Because of this the Lord has given me the reward of my righteousness, because my hands are clean in his eyes.On him who has mercy you will have mercy; to the upright you will be upright;He who is holy will see that you are holy; but to the man whose way is not straight you will be a hard judge.For you are the saviour of those who are in trouble; but your eyes are on men of pride, to make them low.For you are my light, O Lord; and the Lord will make the dark bright for me.By your help I have made a way through the wall which was shutting me in: by the help of my God I have gone over a wall.As for God, his way is all good: the word of the Lord is tested; he is a safe cover for all those who put their faith in him.For who is God but the Lord? and who is a Rock but our God?God puts a strong band about me, guiding me in a straight way.He makes my feet like roes' feet, and puts me on high places.He makes my hands expert in war, so that a bow of brass is bent by my arms.You have given me the breastplate of your salvation, and your mercy has made me great.You have made my steps wide under me, so that my feet make no slip.I go after my haters and overtake them; not turning back till they are all overcome.I have sent destruction on them and given them wounds, so that they are not able to get up: they are stretched under my feet.For I have been armed by you with strength for the fight: you have made low under me those who came out against me.By you their backs are turned in flight, so that my haters are cut off.They were crying out, but there was no one to come to their help: even to the Lord, but he gave them no answer.Then they were crushed as small as the dust of the earth, stamped down under my feet like the waste of the streets.You have made me free from the fightings of my people; you have made me the head of the nations: a people of whom I had no knowledge will be my servants.Men of other countries will, with false hearts, put themselves under my authority: from the time when my name comes to their ears, they will be ruled by me.They will be wasted away, they will come out of their secret places shaking with fear.The Lord is living; praise be to my Rock, and let the God of my salvation be honoured:It is God who sends punishment on my haters, and puts peoples under my rule.He makes me free from my haters: I am lifted up over those who come up against me: you have made me free from the violent man.Because of this I will give you praise, O Lord, among the nations, and will make a song of praise to your name.Great salvation does he give to his king; he has mercy on the king of his selection, David, and on his seed for ever.","and he said:
“Yahweh is my rock,
my fortress,
and my deliverer, even mine;
God is my rock in whom I take refuge;
my shield, and the horn of my salvation,
my high tower, and my refuge.
My savior, you save me from violence.
I call on Yahweh, who is worthy to be praised;
So shall I be saved from my enemies.
For the waves of death surrounded me.
The floods of ungodliness made me afraid.
The cords of Sheol were around me.
The snares of death caught me.
In my distress, I called on Yahweh.
Yes, I called to my God.
He heard my voice out of his temple.
My cry came into his ears.
Then the earth shook and trembled.
The foundations of heaven quaked and were shaken,
because he was angry.
Smoke went up out of his nostrils.
Consuming fire came out of his mouth.
Coals were kindled by it.
He bowed the heavens also, and came down.
Thick darkness was under his feet.
He rode on a cherub, and flew.
Yes, he was seen on the wings of the wind.
He made darkness a shelter around himself:
gathering of waters, and thick clouds of the skies.
At the brightness before him,
coals of fire were kindled.
Yahweh thundered from heaven.
The Most High uttered his voice.
He sent out arrows, and scattered them;
lightning, and confused them.
Then the channels of the sea appeared.
The foundations of the world were laid bare by Yahweh’s rebuke,
at the blast of the breath of his nostrils.
He sent from on high and he took me.
He drew me out of many waters.
He delivered me from my strong enemy,
from those who hated me, for they were too mighty for me.
They came on me in the day of my calamity,
but Yahweh was my support.
He also brought me out into a large place.
He delivered me, because he delighted in me.
Yahweh rewarded me according to my righteousness.
He rewarded me according to the cleanness of my hands.
For I have kept Yahweh’s ways,
and have not wickedly departed from my God.
For all his ordinances were before me.
As for his statutes, I did not depart from them.
I was also perfect toward him.
I kept myself from my iniquity.
Therefore Yahweh has rewarded me according to my righteousness,
According to my cleanness in his eyesight.
With the merciful you will show yourself merciful.
With the perfect man you will show yourself perfect.
With the pure you will show yourself pure.
With the crooked you will show yourself shrewd.
You will save the afflicted people,
But your eyes are on the haughty, that you may bring them down.
For you are my lamp, Yahweh.
Yahweh will light up my darkness.
For by you, I run against a troop.
By my God, I leap over a wall.
As for God, his way is perfect.
Yahweh’s word is tested.
He is a shield to all those who take refuge in him.
For who is God, besides Yahweh?
Who is a rock, besides our God?
God is my strong fortress.
He makes my way perfect.
He makes his feet like hinds’ feet,
and sets me on my high places.
He teaches my hands to war,
so that my arms bend a bow of brass.
You have also given me the shield of your salvation.
Your gentleness has made me great.
You have enlarged my steps under me.
My feet have not slipped.
I have pursued my enemies and destroyed them.
I didn’t turn again until they were consumed.
I have consumed them,
and struck them through,
so that they can’t arise.
Yes, they have fallen under my feet.
For you have armed me with strength for the battle.
You have subdued under me those who rose up against me.
You have also made my enemies turn their backs to me,
that I might cut off those who hate me.
They looked, but there was no one to save;
even to Yahweh, but he didn’t answer them.
Then I beat them as small as the dust of the earth.
I crushed them as the mire of the streets, and spread them abroad.
You also have delivered me from the strivings of my people.
You have kept me to be the head of the nations.
A people whom I have not known will serve me.
The foreigners will submit themselves to me.
As soon as they hear of me, they will obey me.
The foreigners will fade away,
and will come trembling out of their close places.
Yahweh lives!
Blessed be my rock!
Exalted be God, the rock of my salvation,
even the God who executes vengeance for me,
who brings down peoples under me,
who brings me away from my enemies.
Yes, you lift me up above those who rise up against me.
You deliver me from the violent man.
Therefore I will give thanks to you, Yahweh, among the nations,
and will sing praises to your name.
He gives great deliverance to his king,
and shows loving kindness to his anointed,
to David and to his offspring, forever more.”",
2 Samuel 23:5,2Samuel23:5,"For is not my house so with God? For he has made with me an eternal agreement, ordered in all things and certain: as for all my salvation and all my desire, will he not give it increase?","Isn’t my house so with God?
Yet he has made with me an everlasting covenant,
ordered in all things, and sure,
for it is all my salvation, and all my desire,
although he doesn’t make it grow.",
1 Chronicles 16:8-36,1Chronicles 16:8-36,"O give praise to the Lord; give honour to his name, talking of his doings among the peoples.Let your voice be sounded in songs and melody; let all your thoughts be of the wonder of his works.Have glory in his holy name; let the hearts of those who are searching after the Lord be glad.Let your search be for the Lord and for his strength; let your hearts ever be turned to him.Keep in mind the great works which he has done; his wonders, and the decisions of his mouth;O you seed of Israel his servant, you children of Jacob, his loved ones.He is the Lord our God: he is judge of all the earth.He has kept his agreement in mind for ever, the word which he gave for a thousand generations;The agreement which he made with Abraham, and his oath to Isaac;And he gave it to Jacob for a law, and to Israel for an eternal agreement;Saying, To you will I give the land of Canaan, the measured line of your heritage:When you were still small in number, and strange in the land;When they went about from one nation to another, and from one kingdom to another people;He would not let anyone do them wrong; he even kept back kings because of them,Saying, Put not your hand on those who have been marked with my holy oil, and do my prophets no wrong.Make songs to the Lord, all the earth; give the good news of his salvation day by day.Make clear his glory to the nations, and his wonders to all the peoples.For the Lord is great, and greatly to be praised; and he is more to be feared than all other gods.For all the gods of the nations are false gods; but the Lord made the heavens.Honour and glory are before him: strength and joy are in his holy place.Give to the Lord, O you families of the peoples, give to the Lord glory and strength.Give to the Lord the glory of his name; take with you an offering and come before him; give worship to the Lord in holy robes.Be in fear before him, all the earth: the world is ordered so that it may not be moved.Let the heavens have joy and let the earth be glad; let them say among the nations, The Lord is King.Let the sea be thundering with all its waters; let the field be glad, and everything which is in it;Then let all the trees of the wood be sounding with joy before the Lord, for he is come to be the judge of the earth.O give praise to the Lord, for he is good: for his mercy is unchanging for ever.And say, Be our saviour, O God of our salvation, and let us come back, and give us salvation from the nations, so that we may give honour to your holy name and have glory in your praise.Praise be to the Lord, the God of Israel, for ever and for ever. And all the people said, So be it; and gave praise to the Lord.","Oh give thanks to Yahweh.
Call on his name.
Make what he has done known among the peoples.
Sing to him.
Sing praises to him.
Tell of all his marvelous works.
Glory in his holy name.
Let the heart of those who seek Yahweh rejoice.
Seek Yahweh and his strength.
Seek his face forever more.
Remember his marvelous works that he has done,
his wonders, and the judgments of his mouth,
you offspring of Israel his servant,
you children of Jacob, his chosen ones.
He is Yahweh our God.
His judgments are in all the earth.
Remember his covenant forever,
the word which he commanded to a thousand generations,
the covenant which he made with Abraham,
his oath to Isaac.
He confirmed the same to Jacob for a statute,
and to Israel for an everlasting covenant,
saying, “I will give you the land of Canaan,
The lot of your inheritance,”
when you were but a few men in number,
yes, very few, and foreigners were in it.
They went about from nation to nation,
from one kingdom to another people.
He allowed no man to do them wrong.
Yes, he reproved kings for their sakes,
“Don’t touch my anointed ones!
Do my prophets no harm!”
Sing to Yahweh, all the earth!
Display his salvation from day to day.
Declare his glory among the nations,
and his marvelous works among all the peoples.
For great is Yahweh, and greatly to be praised.
He also is to be feared above all gods.
For all the gods of the peoples are idols,
but Yahweh made the heavens.
Honor and majesty are before him.
Strength and gladness are in his place.
Ascribe to Yahweh, you relatives of the peoples,
ascribe to Yahweh glory and strength!
Ascribe to Yahweh the glory due to his name.
Bring an offering, and come before him.
Worship Yahweh in holy array.
Tremble before him, all the earth.
The world also is established that it can’t be moved.
Let the heavens be glad,
and let the earth rejoice!
Let them say among the nations, “Yahweh reigns!”
Let the sea roar, and its fullness!
Let the field exult, and all that is in it!
Then the trees of the forest will sing for joy before Yahweh,
for he comes to judge the earth.
Oh give thanks to Yahweh, for he is good,
for his loving kindness endures forever.
Say, “Save us, God of our salvation!
Gather us together and deliver us from the nations,
to give thanks to your holy name,
to triumph in your praise.”
Blessed be Yahweh, the God of Israel,
from everlasting even to everlasting.
All the people said, “Amen,” and praised Yahweh.",
Psalm 3:8,Psalm3:8,Salvation comes from the Lord; your blessing is on your people. (Selah.),"Salvation belongs to Yahweh.
Your blessing be on your people.
Selah.",
Psalm 9:9-14,Psalm9:9-14,"The Lord will be a high tower for those who are crushed down, a high tower in times of trouble;And those who have knowledge of your name will put their faith in you; because you, Lord, have ever given your help to those who were waiting for you.Make songs of praise to the Lord, whose house is in Zion: make his doings clear to the people.When he makes search for blood, he has them in his memory: he is not without thought for the cry of the poor.Have mercy on me, O Lord, and see how I am troubled by my haters; let me be lifted up from the doors of death;So that I may make clear all your praise in the house of the daughter of Zion: I will be glad because of your salvation.","Yahweh will also be a high tower for the oppressed;
a high tower in times of trouble.
Those who know your name will put their trust in you,
for you, Yahweh, have not forsaken those who seek you.
Sing praises to Yahweh, who dwells in Zion,
and declare among the people what he has done.
For he who avenges blood remembers them.
He doesn’t forget the cry of the afflicted.
Have mercy on me, Yahweh.
See my affliction by those who hate me,
and lift me up from the gates of death;
that I may show all of your praise.
In the gates of the daughter of Zion, I will rejoice in your salvation.",
Psalm Psalm 18,PsalmPsalm 18,"<To the chief music-maker. Of the servant of the Lord, of David, who said the words of this song to the Lord on the day when the Lord made him free from the hand of all his haters, and from the hand of Saul; and he said,> I will give you my love, O Lord, my strength.The Lord is my Rock, my walled town, and my saviour; my God, my Rock, in him will I put my faith; my breastplate, and the horn of my salvation, and my high tower.I will send up my cry to the Lord, who is to be praised; so will I be made safe from those who are against me.The cords of death were round me, and the seas of evil put me in fear.The cords of hell were round me: the nets of death came on me.In my trouble my voice went up to the Lord, and my cry to my God: my voice came to his hearing in his holy Temple, and my prayer came before him, even into his ears.Then trouble and shock came on the earth; and the bases of the mountains were moved and shaking, because he was angry.There went up a smoke from his nose, and a fire of destruction from his mouth: flames were lighted by it.The heavens were bent, so that he might come down; and it was dark under his feet.And he went in flight through the air, seated on a storm-cloud: going quickly on the wings of the wind.He made the dark his secret place; his tent round him was the dark waters and thick clouds of the skies.Before his shining light his dark clouds went past, raining ice and fire.The Lord made thunder in the heavens, and the voice of the Highest was sounding out: a rain of ice and fire.He sent out his arrows, driving them in all directions; by his flames of fire they were troubled.Then the deep beds of the waters were seen, and the bases of the world were uncovered, because of your words of wrath, O Lord, because of the breath from your mouth.He sent from on high, he took me, pulling me out of great waters.He made me free from my strong hater, and from those who were against me, because they were stronger than I.They came on me in the day of my trouble; but the Lord was my support.He took me out into a wide place; he was my saviour because he had delight in me.The Lord gives me the reward of my righteousness, because my hands are clean before him.For I have kept the ways of the Lord; I have not been turned away in sin from my God.For all his decisions were before me, and I did not put away his laws from me.And I was upright before him, and I kept myself from sin.Because of this the Lord has given me the reward of my righteousness, because my hands are clean in his eyes.On him who has mercy you will have mercy; to the upright you will be upright;He who is holy will see that you are holy; but to the man whose way is not straight you will be a hard judge.For you are the saviour of those who are in trouble; but eyes full of pride will be made low.You, O Lord, will be my light; by you, my God, the dark will be made bright for me.By your help I have made a way through the wall which was shutting me in; by the help of my God I have gone over a wall.As for God, his way is completely good; the word of the Lord is tested; he is a breastplate for all those who put their faith in him.For who is God but the Lord? or who is a Rock but our God?God puts a strong band about me, guiding me in a straight way.He makes my feet like roes' feet, and puts me on high places.He makes my hands expert in war, so that a bow of brass is bent by my arms.You have given me the breastplate of your salvation: your right hand has been my support, and your mercy has made me great.You have made my steps wide under me, so that my feet are kept from slipping.I go after my haters and overtake them; not turning back till they are all overcome.I will give them wounds, so that they are not able to get up: they are stretched under my feet.For I have been armed by you with strength for the fight: you have made low under me those who come out against me.By you their backs are turned in flight, so that my haters are cut off.They were crying out, but there was no one to come to their help: even to the Lord, but he gave them no answer.Then they were crushed as small as dust before the wind; they were drained out like the waste of the streets.You have made me free from the fightings of the people; you have made me the head of the nations: a people of whom I had no knowledge will be my servants.From the time when my name comes to their ears they will be ruled by me: men of other countries will, with false hearts, put themselves under my authority.They will be wasting away, they will come out of their secret places shaking with fear.The Lord is living; praise be to my Rock, and let the God of my salvation be honoured.It is God who sends punishment on my haters, and puts peoples under my rule.He makes me free from my haters; I am lifted up over those who come up against me: you have made me free from the violent man.Because of this I will give you praise, O Lord, among the nations, and will make a song of praise to your name.Great salvation does he give to his king; he has mercy on the king of his selection, David, and on his seed for ever.","I love you, Yahweh, my strength.
Yahweh is my rock, my fortress, and my deliverer;
my God, my rock, in whom I take refuge;
my shield, and the horn of my salvation, my high tower.
I call on Yahweh, who is worthy to be praised;
and I am saved from my enemies.
The cords of death surrounded me.
The floods of ungodliness made me afraid.
The cords of Sheol were around me.
The snares of death came on me.
In my distress I called on Yahweh,
and cried to my God.
He heard my voice out of his temple.
My cry before him came into his ears.
Then the earth shook and trembled.
The foundations also of the mountains quaked and were shaken,
because he was angry.
Smoke went out of his nostrils.
Consuming fire came out of his mouth.
Coals were kindled by it.
He bowed the heavens also, and came down.
Thick darkness was under his feet.
He rode on a cherub, and flew.
Yes, he soared on the wings of the wind.
He made darkness his hiding place, his pavilion around him,
darkness of waters, thick clouds of the skies.
At the brightness before him his thick clouds passed,
hailstones and coals of fire.
Yahweh also thundered in the sky.
The Most High uttered his voice:
hailstones and coals of fire.
He sent out his arrows, and scattered them;
Yes, great lightning bolts, and routed them.
Then the channels of waters appeared.
The foundations of the world were laid bare at your rebuke, Yahweh,
at the blast of the breath of your nostrils.
He sent from on high.
He took me.
He drew me out of many waters.
He delivered me from my strong enemy,
from those who hated me; for they were too mighty for me.
They came on me in the day of my calamity,
but Yahweh was my support.
He brought me out also into a large place.
He delivered me, because he delighted in me.
Yahweh has rewarded me according to my righteousness.
According to the cleanness of my hands has he recompensed me.
For I have kept the ways of Yahweh,
and have not wickedly departed from my God.
For all his ordinances were before me.
I didn’t put away his statutes from me.
I was also blameless with him.
I kept myself from my iniquity.
Therefore Yahweh has rewarded me according to my righteousness,
according to the cleanness of my hands in his eyesight.
With the merciful you will show yourself merciful.
With the perfect man, you will show yourself perfect.
With the pure, you will show yourself pure.
With the crooked you will show yourself shrewd.
For you will save the afflicted people,
but the haughty eyes you will bring down.
For you will light my lamp, Yahweh.
My God will light up my darkness.
For by you, I advance through a troop.
By my God, I leap over a wall.
As for God, his way is perfect.
Yahweh’s word is tried.
He is a shield to all those who take refuge in him.
For who is God, except Yahweh?
Who is a rock, besides our God,
the God who arms me with strength, and makes my way perfect?
He makes my feet like deer’s feet,
and sets me on my high places.
He teaches my hands to war,
so that my arms bend a bow of bronze.
You have also given me the shield of your salvation.
Your right hand sustains me.
Your gentleness has made me great.
You have enlarged my steps under me,
My feet have not slipped.
I will pursue my enemies, and overtake them.
Neither will I turn again until they are consumed.
I will strike them through, so that they will not be able to rise.
They shall fall under my feet.
For you have armed me with strength to the battle.
You have subdued under me those who rose up against me.
You have also made my enemies turn their backs to me,
that I might cut off those who hate me.
They cried, but there was no one to save;
even to Yahweh, but he didn’t answer them.
Then I beat them small as the dust before the wind.
I cast them out as the mire of the streets.
You have delivered me from the strivings of the people.
You have made me the head of the nations.
A people whom I have not known shall serve me.
As soon as they hear of me they shall obey me.
The foreigners shall submit themselves to me.
The foreigners shall fade away,
and shall come trembling out of their close places.
Yahweh lives; and blessed be my rock.
Exalted be the God of my salvation,
even the God who executes vengeance for me,
and subdues peoples under me.
He rescues me from my enemies.
Yes, you lift me up above those who rise up against me.
You deliver me from the violent man.
Therefore I will give thanks to you, Yahweh, among the nations,
and will sing praises to your name.
He gives great deliverance to his king,
and shows loving kindness to his anointed,
to David and to his offspring, forever more.",
Psalm 20:6,Psalm20:6,Now am I certain that the Lord gives salvation to his king; he will give him an answer from his holy heaven with the strength of salvation in his right hand.,"Now I know that Yahweh saves his anointed.
He will answer him from his holy heaven,
with the saving strength of his right hand.",
Psalm 22:24,Psalm22:24,For he has not been unmoved by the pain of him who is troubled; or kept his face covered from him; but he has given an answer to his cry.,"For he has not despised nor abhorred the affliction of the afflicted,
Neither has he hidden his face from him;
but when he cried to him, he heard.",
Psalm 30:1-3,Psalm30:1-3,"<A Psalm. A Song at the blessing of the House. Of David.> I will give you praise and honour, O Lord, because through you I have been lifted up; you have not given my haters cause to be glad over me.O Lord my God, I sent up my cry to you, and you have made me well.O Lord, you have made my soul come again from the underworld: you have given me life and kept me from going down among the dead.","I will extol you, Yahweh, for you have raised me up,
and have not made my foes to rejoice over me.
Yahweh my God, I cried to you,
and you have healed me.
Yahweh, you have brought up my soul from Sheol.
You have kept me alive, that I should not go down to the pit.",
Psalm 34:4-7,Psalm34:4-7,"I was searching for the Lord, and he gave ear to my voice, and made me free from all my fears.Let your eyes be turned to him and you will have light, and your faces will not be shamed.This poor man's cry came before the Lord, and he gave him salvation from all his troubles.The angel of the Lord is ever watching over those who have fear of him, to keep them safe.","I sought Yahweh, and he answered me,
and delivered me from all my fears.
They looked to him, and were radiant.
Their faces shall never be covered with shame.
This poor man cried, and Yahweh heard him,
and saved him out of all his troubles.
Yahweh’s angel encamps around those who fear him,
and delivers them.",
Psalm 35:27,Psalm35:27,"Let those who are on my side give cries of joy; let them ever say, The Lord be praised, for he has pleasure in the peace of his servant.","Let them shout for joy and be glad, who favor my righteous cause.
Yes, let them say continually, “Yahweh be magnified,
who has pleasure in the prosperity of his servant!”",
Psalm 37:39-40,Psalm37:39-40,"But the Lord is the saviour of the upright: he is their strength in the time of trouble.And the Lord will be their help, and keep them safe: he will take them out of the hands of the evil-doers, and be their saviour, because they had faith in him.","But the salvation of the righteous is from Yahweh.
He is their stronghold in the time of trouble.
Yahweh helps them, and rescues them.
He rescues them from the wicked, and saves them,
Because they have taken refuge in him.",
Psalm 40:1-3,Psalm40:1-3,"<To the chief music-maker. Of David. A Psalm.> When I was waiting quietly for the Lord, his heart was turned to me, and he gave ear to my cry.He took me up out of a deep waste place, out of the soft and sticky earth; he put my feet on a rock, and made my steps certain.And he put a new song in my mouth, even praise to our God; numbers have seen it with fear, and put their faith in the Lord.","I waited patiently for Yahweh.
He turned to me, and heard my cry.
He brought me up also out of a horrible pit,
out of the miry clay.
He set my feet on a rock,
and gave me a firm place to stand.
He has put a new song in my mouth, even praise to our God.
Many shall see it, and fear, and shall trust in Yahweh.",
Psalm 54:7,Psalm54:7,Because it has been my saviour from all my trouble; and my eyes have seen the punishment of my haters.,"For he has delivered me out of all trouble.
My eye has seen triumph over my enemies.",
Psalm 55:16-18,Psalm55:16-18,"As for me, I will make my prayer to God, and he will be my saviour.In the evening and in the morning and in the middle of the day I will make my prayer with sounds of grief; and my voice will come to his ears.He has taken my soul away from the attack which was made against me, and given it peace; for great numbers were against me.","As for me, I will call on God.
Yahweh will save me.
Evening, morning, and at noon, I will cry out in distress.
He will hear my voice.
He has redeemed my soul in peace from the battle that was against me,
although there are many who oppose me.",
Psalm 56:13,Psalm56:13,"Because you have taken my soul from the power of death; and kept my feet from falling, so that I may be walking before God in the light of life.","For you have delivered my soul from death,
and prevented my feet from falling,
that I may walk before God in the light of the living.",
Psalm 57:2-3,Psalm57:2-3,"I will send up my cry to the Most High God; to God who does all things for me.He will send from heaven, and take me from the power of him whose desire is for my destruction. God will send out his mercy and his good faith.","I cry out to God Most High,
to God who accomplishes my requests for me.
He will send from heaven, and save me,
he rebukes the one who is pursuing me.
Selah.
God will send out his loving kindness and his truth.",
Psalm 60:12,Psalm60:12,"Through God we will do great things, for through him our haters will be crushed under our feet.","Through God we shall do valiantly,
for it is he who will tread down our adversaries.",
Psalm 62:1-2,Psalm62:1-2,"<To the chief music-maker. After Jeduthun. A Psalm. Of David.> My soul, put all your faith in God; for from him comes my salvation.He only is my Rock and my salvation; he is my high tower; I will not be greatly moved.","My soul rests in God alone.
My salvation is from him.
He alone is my rock and my salvation, my fortress—
I will never be greatly shaken.",
Psalm 62:6-7,Psalm62:6-7,"He only is my Rock and my salvation; he is my high tower; I will not be greatly moved.In God is my salvation, and my glory; the Rock of my strength, and my safe place.","He alone is my rock and my salvation, my fortress.
I will not be shaken.
With God is my salvation and my honor.
The rock of my strength, and my refuge, is in God.",
Psalm 66:16-20,Psalm66:16-20,"Come, give ear to me, all you God-fearing men, so that I may make clear to you what he has done for my soul.My voice went up to him, and I was lifted up from the underworld.I said in my heart, The Lord will not give ear to me:But truly God's ear has been open; he has give attention to the voice of my prayer.Praise be to God who has not taken away his good faith and his mercy from me.","Come, and hear, all you who fear God.
I will declare what he has done for my soul.
I cried to him with my mouth.
He was extolled with my tongue.
If I cherished sin in my heart,
the Lord wouldn’t have listened.
But most certainly, God has listened.
He has heard the voice of my prayer.
Blessed be God, who has not turned away my prayer,
nor his loving kindness from me.",
Psalm 68:19-20,Psalm68:19-20,"Praise be to the Lord, who is our support day by day, even the God of our salvation. (Selah.)Our God is for us a God of salvation; his are the ways out of death.","Blessed be the Lord, who daily bears our burdens,
even the God who is our salvation.
Selah.
God is to us a God of deliverance.
To Yahweh, the Lord, belongs escape from death.",
Psalm 69:30-36,Psalm69:30-36,"I will give praise to the name of God with a song; I will give glory to him for what he has done.This will be more pleasing to the Lord than an ox, or a young ox of full growth.The poor will see it and be glad: you who are lovers of God, let your hearts have life.For the ears of the Lord are open to the poor, and he takes thought for his prisoners.Let the heavens and the earth give praise to him, the seas, and everything moving in them.For God will be the saviour of Zion, and the builder of the towns of Judah; so that it may be their resting-place and heritage.The seed of his servants will have their part in it, and there the lovers of his name will have rest.","I will praise the name of God with a song,
and will magnify him with thanksgiving.
It will please Yahweh better than an ox,
or a bull that has horns and hoofs.
The humble have seen it, and are glad.
You who seek after God, let your heart live.
For Yahweh hears the needy,
and doesn’t despise his captive people.
Let heaven and earth praise him;
the seas, and everything that moves therein!
For God will save Zion, and build the cities of Judah.
They shall settle there, and own it.
The children also of his servants shall inherit it.
Those who love his name shall dwell therein.",
Psalm 71:14-24,Psalm71:14-24,"But I will go on ever hoping, and increasing in all your praise.My mouth will make clear your righteousness and your salvation all the day; for they are more than may be measured.I will give news of the great acts of the Lord God; my words will be of your righteousness, and of yours only.O God, you have been my teacher from the time when I was young; and I have been talking of your works of wonder even till now.Now when I am old and grey-headed, O God, give me not up; till I have made clear your strength to this generation, and your power to all those to come.Your righteousness, O God, is very high; you have done great things; O God, who is like you?You, who have sent great and bitter troubles on me, will give me life again, lifting me up from the deep waters of the underworld.You will make me greater than before, and give me comfort on every side.I will give praise to you with instruments of music, O my God, for you are true; I will make songs to you with music, O Holy One of Israel.Joy will be on my lips when I make melody to you; and in my soul, to which you have given salvation.My tongue will be talking of your righteousness all the day; for those whose purpose is to do me evil have been crushed and put to shame.","But I will always hope,
and will add to all of your praise.
My mouth will tell about your righteousness,
and of your salvation all day,
though I don’t know its full measure.
I will come with the mighty acts of the Lord Yahweh.
I will make mention of your righteousness, even of yours alone.
God, you have taught me from my youth.
Until now, I have declared your wondrous works.
Yes, even when I am old and gray-haired, God, don’t forsake me,
until I have declared your strength to the next generation,
your might to everyone who is to come.
Your righteousness also, God, reaches to the heavens;
you have done great things.
God, who is like you?
You, who have shown us many and bitter troubles,
you will let me live.
You will bring us up again from the depths of the earth.
Increase my honor,
and comfort me again.
I will also praise you with the harp for your faithfulness, my God.
I sing praises to you with the lyre, Holy One of Israel.
My lips shall shout for joy!
My soul, which you have redeemed, sings praises to you!
My tongue will also talk about your righteousness all day long,
for they are disappointed, and they are confounded,
who want to harm me.",
Psalm 73:23-28,Psalm73:23-28,"But still I am ever with you; you have taken me by my right hand.Your wisdom will be my guide, and later you will put me in a place of honour.Whom have I in heaven but you? and having you I have no desire for anything on earth.My flesh and my heart are wasting away: but God is the Rock of my heart and my eternal heritage.For those who are far away from you will come to destruction: you will put an end to all those who have not kept faith with you.But it is good for me to come near to God: I have put my faith in the Lord God, so that I may make clear all his works.","Nevertheless, I am continually with you.
You have held my right hand.
You will guide me with your counsel,
and afterward receive me to glory.
Whom do I have in heaven?
There is no one on earth whom I desire besides you.
My flesh and my heart fails,
but God is the strength of my heart and my portion forever.
For, behold, those who are far from you shall perish.
You have destroyed all those who are unfaithful to you.
But it is good for me to come close to God.
I have made the Lord Yahweh my refuge,
that I may tell of all your works.",
Psalm 74:12,Psalm74:12,"For from the past God is my King, working salvation in the earth.","Yet God is my King of old,
working salvation throughout the earth.",
Psalm 80:3,Psalm80:3,"Take us back again, O God; let us see the shining of your face, and let us be safe.","Turn us again, God.
Cause your face to shine,
and we will be saved.",
Psalm 80:7,Psalm80:7,"Take us back again, O God of armies; let us see the shining of your face, and let us be safe.","Turn us again, God of Armies.
Cause your face to shine,
and we will be saved.",
Psalm 80:19,Psalm80:19,"Take us back, O Lord God of armies; let us see the shining of your face, and let us be safe.","Turn us again, Yahweh God of Armies.
Cause your face to shine, and we will be saved.",
Psalm 86:13,Psalm86:13,For your mercy to me is great; you have taken my soul up from the deep places of the underworld.,"For your loving kindness is great toward me.
You have delivered my soul from the lowest Sheol.",
Psalm 91:14-16,Psalm91:14-16,"Because he has given me his love, I will take him out of danger: I will put him in a place of honour, because he has kept my name in his heart.When his cry comes up to me, I will give him an answer: I will be with him in trouble; I will make him free from danger and give him honour.With long life will he be rewarded; and I will let him see my salvation.","“Because he has set his love on me, therefore I will deliver him.
I will set him on high, because he has known my name.
He will call on me, and I will answer him.
I will be with him in trouble.
I will deliver him, and honor him.
I will satisfy him with long life,
and show him my salvation.”",
Psalm 94:18-19,Psalm94:18-19,"If I say, My foot is slipping; your mercy, O Lord, is my support.Among all my troubled thoughts, your comforts are the delight of my soul.","When I said, “My foot is slipping!”
Your loving kindness, Yahweh, held me up.
In the multitude of my thoughts within me,
your comforts delight my soul.",
