Verse Reference,Bible Gateway Link (Chapter),bbe,web,ylt
Matt 9:18,Matt9:18,"While he was saying these things to them, there came a ruler and gave him worship, saying, My daughter is even now dead; but come and put your hand on her, and she will come back to life.","While he told these things to them, behold, a ruler came and worshiped him, saying, “My daughter has just died, but come and lay your hand on her, and she will live.”","While he is speaking these things to them, lo, a ruler having come, was bowing to him, saying that 'My daughter just now died, but, having come, lay your hand upon her, and she shall live.'"
Matt 9:21,Matt9:21,"Because, she said to herself, if I may but put my hand on his robe, I will be made well.","for she said within herself, “If I just touch his garment, I will be made well.”","for she said within herself, 'If only I may touch his garment, I shall be saved.'"
Matt 9:22,Matt9:22,"But Jesus, turning and seeing her, said, Daughter, take heart; your faith has made you well. And the woman was made well from that hour.","But Jesus, turning around and seeing her, said,
“Daughter, cheer up! Your faith has made you well.” And the woman was made well from that hour.","And Jesus having turned about, and having seen her, said, 'Be of good courage, daughter, your faith has saved you,' and the woman was saved from that hour."
Matt 9:25,Matt9:25,"But when the people were sent out, he went in and took her by the hand; and the girl got up.","But when the crowd was put out, he entered in, took her by the hand, and the girl arose.","but, when the multitude was put forth, having gone in, he took hold of her hand, and the damsel arose,"
Matt 9:35,Matt9:35,"And Jesus went about all the towns and small places, teaching in their Synagogues and preaching the good news of the kingdom and making well all sorts of disease and pain.","Jesus went about all the cities and the villages, teaching in their synagogues, and preaching the Good News of the Kingdom, and healing every disease and every sickness among the people.","And Jesus was going up and down all the cities and the villages, teaching in their synagogues, and proclaiming the good news of the reign, and healing every sickness and every malady among the people."
Matt 10:1,Matt10:1,"And he got together his twelve disciples and gave them the power of driving out unclean spirits, and of making well all sorts of disease and pain.","He called to himself his twelve disciples, and gave them authority over unclean spirits, to cast them out, and to heal every disease and every sickness.","And having called to him his twelve disciples, he gave to them power over unclean spirits, so as to be casting them out, and to be healing every sickness, and every malady."
Matt 10:8,Matt10:8,"Make well those who are ill, give life to the dead, make lepers clean, send evil spirits out of men; freely it has been given to you, freely give.","Heal the sick, cleanse the lepers,
and cast out demons. Freely you received, so freely give.","infirm ones be healing, lepers be cleansing, dead be raising, demons be casting out -- freely you did receive, freely give."
Matt 11:5,Matt11:5,"The blind see; those who were not able to, are walking; lepers are made clean; those who were without hearing, now have their ears open; the dead come to life again, and the poor have the good news given to them.","the blind receive their sight, the lame walk, the lepers are cleansed, the deaf hear,
the dead are raised up, and the poor have good news preached to them.","blind receive sight, and lame walk, lepers are cleansed, and deaf hear, dead are raised, and poor have good news proclaimed,"
Matt 12:10,Matt12:10,"And there was a man with a dead hand. And they put a question to him, saying, Is it right to make a man well on the Sabbath day? so that they might have something against him.","And behold there was a man with a withered hand. They asked him, “Is it lawful to heal on the Sabbath day?” that they might accuse him.","and lo, there was a man having the hand withered, and they questioned him, saying, 'Is it lawful to heal on the sabbaths?' That they might accuse him."
Matt 12:13,Matt12:13,"Then said he to the man, Put out your hand. And he put it out, and it was made as well as the other.","Then he told the man,
“Stretch out your hand.” He stretched it out; and it was restored whole, just like the other.","Then said he to the man, 'Stretch forth your hand,' and he stretched it forth, and it was restored whole as the other."
Matt 12:15,Matt12:15,"And Jesus, having knowledge of this, went away from there, and a great number went after him; and he made them all well,","Jesus, perceiving that, withdrew from there. Great multitudes followed him; and he healed them all,","And Jesus having known, withdrew from there, and there followed him great multitudes, and he healed them all,"
Matt 14:14,Matt14:14,"And he came out and saw a great number of people and he had pity on them, and made well those of them who were ill.","Jesus went out, and he saw a great multitude. He had compassion on them, and healed their sick.","And Jesus having come forth, saw a great multitude, and was moved with compassion upon them, and did heal their infirm;"
Matt 14:30,Matt14:30,"But when he saw the wind he was in fear and, starting to go down, he gave a cry, saying, Help, Lord.","But when he saw that the wind was strong, he was afraid, and beginning to sink, he cried out, saying, “Lord, save me!”","but seeing the wind vehement, he was afraid, and having begun to sink, he cried out, saying, 'Sir, save me.'"
Matt 15:30,Matt15:30,"And there came to him great numbers of people having with them those who were broken in body, or blind, or without voice, or wounded, or ill in any way, and a number of others; they put them down at his feet and he made them well:","Great multitudes came to him, having with them the lame, blind, mute, maimed, and many others, and they put them down at his feet. He healed them,","and there came to him great multitudes, having with them lame, blind, dumb, maimed, and many others, and they did cast them at the feet of Jesus, and he healed them,"
Matt 17:16,Matt17:16,"And I took him to your disciples, and they were not able to make him well.","So I brought him to your disciples, and they could not cure him.”","and I brought him near to your disciples, and they were not able to heal him.'"
Matt 20:34,Matt20:34,"And Jesus, being moved with pity, put his fingers on their eyes: and straight away they were able to see, and went after him.","Jesus, being moved with compassion, touched their eyes; and immediately their eyes received their sight, and they followed him.","and having been moved with compassion, Jesus touched their eyes, and immediately their eyes received sight, and they followed him."
Mark 1:31,Mark1:31,"And he came and took her by the hand, lifting her up; and she became well, and took care of their needs.","He came and took her by the hand, and raised her up. The fever left her, and she served them.","and having come near, he raised her up, having laid hold of her hand, and the fever left her immediately, and she was ministering to them."
Mark 1:34,Mark1:34,"And a number, who were ill with different diseases, he made well, and sent out evil spirits; but he did not let the evil spirits say anything, because they had knowledge of him.","He healed many who were sick with various diseases, and cast out many demons. He didn’t allow the demons to speak, because they knew him.","and he healed many who were ill of manifold diseases, and many demons he cast forth, and was not suffering the demons to speak, because they knew him."
Mark 1:40,Mark1:40,"And a leper came to him and, going down on his knees before him, made a request, saying, If it is your pleasure, you have the power to make me clean.","A leper came to him, begging him, kneeling down to him, and saying to him, “If you want to, you can make me clean.”","and there does come to him a leper, calling on him, and kneeling to him, and saying to him -- 'If you may will, you are able to cleanse me.'"
Mark 1:41,Mark1:41,"And being moved with pity, he put out his hand, and touching him said to him, It is my pleasure; be made clean.","Being moved with compassion, he stretched out his hand, and touched him, and said to him,
“I want to. Be made clean.”","And Jesus having been moved with compassion, having stretched forth the hand, touched him, and said to him, 'I will; be you cleansed;'"
Mark 1:42,Mark1:42,"And straight away the disease went from him, and he was made clean.","When he had said this, immediately the leprosy departed from him, and he was made clean.","and he having spoken, immediately the leprosy went away from him, and he was cleansed."
Mark 3:2,Mark3:2,"And they were watching him to see if he would make him well on the Sabbath day, so that they might have something against him.","They watched him, whether he would heal him on the Sabbath day, that they might accuse him.","and they were watching him, whether on the sabbaths he will heal him, that they might accuse him."
Mark 3:5,Mark3:5,"And looking round on them he was angry, being sad because of their hard hearts; and he said to the man, Put out your hand. And he put it out, and his hand was made well.","When he had looked around at them with anger, being grieved at the hardening of their hearts, he said to the man,
“Stretch out your hand.”
 He stretched it out, and his hand was restored as healthy as the other.","And having looked round upon them with anger, being grieved for the hardness of their heart, he said to the man, 'Stretch forth your hand;' and he stretched forth, and his hand was restored whole as the other;"
Mark 3:10,Mark3:10,For he had made such a great number well that all those who were diseased were falling down before him for the purpose of touching him.,"For he had healed many, so that as many as had diseases pressed on him that they might touch him.","for he did heal many, so that they threw themselves on him, in order to touch him -- as many as had plagues;"
Mark 5:23,Mark5:23,"And made strong prayers to him, saying, My little daughter is near to death: it is my prayer that you will come and put your hands on her, so that she may be made well, and have life.","and begged him much, saying, “My little daughter is at the point of death. Please come and lay your hands on her, that she may be made healthy, and live.”","and he was calling upon him much, saying -- 'My little daughter is at the last extremity -- that having come, you may lay on her your hands, so that she may be saved, and she shall live;'"
Mark 5:28,Mark5:28,"For she said, If I may only put my hand on his robe, I will be made well.","For she said, “If I just touch his clothes, I will be made well.”","for she said -- 'If even his garments I may touch, I shall be saved;'"
Mark 5:34,Mark5:34,"And he said to her, Daughter, your faith has made you well; go in peace, and be free from your disease.","He said to her,
“Daughter, your faith has made you well. Go in peace, and be cured of your disease.”","and he said to her, 'Daughter, your faith has saved you; go away in peace, and be whole from your plague.'"
Mark 5:41,Mark5:41,"And taking her by the hand, he said to her, Talitha cumi, which is, My child, I say to you, Get up.","Taking the child by the hand, he said to her,
“Talitha cumi!”
 which means, being interpreted,
“Girl, I tell you, get up!”","and, having taken the hand of the child, he said to her, 'Talitha cumi;' which is, being interpreted, 'Damsel (I say to you), arise.'"
Mark 6:13,Mark6:13,"And they sent out a number of evil spirits, and put oil on a great number who were ill, and made them well.","They cast out many demons, and anointed many with oil who were sick, and healed them.","and many demons they were casting out, and they were anointing with oil many infirm, and they were healing them."
Mark 6:56,Mark6:56,"And wherever he went, into small towns, or great towns, or into the country, they took those who were ill into the market-places, requesting him that they might put their hands even on the edge of his robe: and all those who did so were made well.","Wherever he entered, into villages, or into cities, or into the country, they laid the sick in the marketplaces, and begged him that they might just touch the fringe of his garment; and as many as touched him were made well.","and wherever he was going, to villages, or cities, or fields, in the market-places they were laying the infirm, and were calling upon him, that they may touch if it were but the fringe of his garment, and as many as were touching him were saved."
Mark 7:32,Mark7:32,And they came to him with one who had no power of hearing and had trouble in talking; and they made a request to him to put his hands on him.,They brought to him one who was deaf and had an impediment in his speech. They begged him to lay his hand on him.,"and they bring to him a deaf, stuttering man, and they call on him that he may put the hand on him."
